CONCISE NET LIST - 1  
A7_7511_HEAC_N           R133             1        R-07090198,49.9 
A7_7511_HEAC_N           R134             2        R-07090198,49.9 
A7_7511_HEAC_N           U15              51       ADV7511KSTZ-ADV7511KSTZ
A7_7511_HEAC_P           C88              2        C-08070403,1U-10V
A7_7511_HEAC_P           R129             1        R-07090198,49.9 
A7_7511_HEAC_P           R130             2        R-07090198,49.9 
A7_7511_HEAC_P           U15              52       ADV7511KSTZ-ADV7511KSTZ
A7_7511_HEAC_P_C         C88              1        C-08070403,1U-10V
A7_7511_HEAC_P_C         J5               14       HDMI-A          
A7_7511_HEAC_P_C         Q6               1        PESD0402-140    
A7_7511_HP               C89              1        C-08070403,1U-10V
A7_7511_HP               J5               19       HDMI-A          
A7_7511_HP               R126             2        R-07090247,10K  
A7_7511_HP               U15              30       ADV7511KSTZ-ADV7511KSTZ
A7_7511_HP               U19              2        RCLAMP0524P     
A7_7511_HP               U19              9        RCLAMP0524P     
A7_7511_HSYNC            U15              98       ADV7511KSTZ-ADV7511KSTZ
A7_7511_HSYNC            U28              AL34     XC7A200TFFG1156-XC7A200TFFG1156
A7_7511_LRCLK            R105             1        R-07090522,0    
A7_7511_LRCLK            U15              17       ADV7511KSTZ-ADV7511KSTZ
A7_7511_MCLK             R106             1        R-07090522,0    
A7_7511_MCLK             U15              11       ADV7511KSTZ-ADV7511KSTZ
A7_7511_PD               R118             1        R-07090246,4.7K 
A7_7511_PD               R119             2        R-07090277,1K   
A7_7511_PD               R122             1        R-07090522,0    
A7_7511_PD               U15              38       ADV7511KSTZ-ADV7511KSTZ
A7_7511_R_EXT            R103             2        R-887-1%        
A7_7511_R_EXT            U15              28       ADV7511KSTZ-ADV7511KSTZ
A7_7511_SCL              J5               15       HDMI-A          
A7_7511_SCL              R127             1        R-97090132,1.8K-1%
A7_7511_SCL              U15              53       ADV7511KSTZ-ADV7511KSTZ
A7_7511_SCL              U19              4        RCLAMP0524P     
A7_7511_SCL              U19              7        RCLAMP0524P     
A7_7511_SCLK             R104             1        R-07090522,0    
A7_7511_SCLK             U15              16       ADV7511KSTZ-ADV7511KSTZ
A7_7511_SDA              J5               16       HDMI-A          
A7_7511_SDA              R128             1        R-97090132,1.8K-1%
A7_7511_SDA              U15              54       ADV7511KSTZ-ADV7511KSTZ
A7_7511_SDA              U19              5        RCLAMP0524P     
A7_7511_SDA              U19              6        RCLAMP0524P     
A7_7511_SPDIF            U15              10       ADV7511KSTZ-ADV7511KSTZ
A7_7511_SPDIF            U28              AP34     XC7A200TFFG1156-XC7A200TFFG1156
A7_7511_SPDIF_OUT        U15              46       ADV7511KSTZ-ADV7511KSTZ
A7_7511_SPDIF_OUT        U28              AK33     XC7A200TFFG1156-XC7A200TFFG1156
A7_7511_VSYNC            U15              2        ADV7511KSTZ-ADV7511KSTZ
A7_7511_VSYNC            U28              AL33     XC7A200TFFG1156-XC7A200TFFG1156
A7_7612_AP0              R83              1        R-07090522,0    
A7_7612_AP0              U8               74       ADV7612BSWZ-ADV7612BSWZ
A7_7612_AP1              R84              1        R-07090522,0    
A7_7612_AP1              U8               75       ADV7612BSWZ-ADV7612BSWZ
A7_7612_AP2              R85              1        R-07090522,0    
A7_7612_AP2              U8               76       ADV7612BSWZ-ADV7612BSWZ
A7_7612_AP3              R86              1        R-07090522,0    
A7_7612_AP3              U8               77       ADV7612BSWZ-ADV7612BSWZ
A7_7612_AP4              R87              1        R-07090522,0    
A7_7612_AP4              U8               78       ADV7612BSWZ-ADV7612BSWZ
A7_7612_AP5              R88              1        R-07090522,0    
A7_7612_AP5              U8               80       ADV7612BSWZ-ADV7612BSWZ
A7_7612_A_CEC            J3               13       HDMI-A          
A7_7612_A_CEC            R94              1        R-07090522,0    
A7_7612_A_CEC            U9               1        RCLAMP0524P     
A7_7612_A_CEC            U9               10       RCLAMP0524P     
A7_7612_A_CLK_N          J3               12       HDMI-A          
A7_7612_A_CLK_N          U8               2        ADV7612BSWZ-ADV7612BSWZ
A7_7612_A_CLK_N          U12              5        RCLAMP0524P     
A7_7612_A_CLK_N          U12              6        RCLAMP0524P     
A7_7612_A_CLK_P          J3               10       HDMI-A          
